"","From","Entry","Features","Glyco.features","Glyco"
"884","P55014","P55014","Alternative sequence (4); Chain (1); Glycosylation (2); Modified residue (7); Region (1); Sequence conflict (6); Topological domain (7); Transmembrane (12)","2",TRUE
"885","P55065","P55065","Chain (1); Disulfide bond (1); Glycosylation (7); Sequence conflict (9); Signal (1)","7",TRUE
"886","P55066","P55066","Chain (1); Compositional bias (3); Disulfide bond (16); Domain (7); Glycosylation (5); Region (5); Sequence conflict (4); Signal (1)","5",TRUE
"887","P55086","P55086","Chain (1); Disulfide bond (1); Glycosylation (2); Lipidation (1); Propeptide (1); Signal (1); Site (1); Topological domain (8); Transmembrane (7)","2",TRUE
"888","P55088","P55088","Alternative sequence (2); Chain (1); Glycosylation (2); Intramembrane (2); Lipidation (2); Modified residue (6); Motif (2); Mutagenesis (1); Natural variant (1); Sequence conflict (5); Topological domain (9); Transmembrane (6)","2",TRUE
"889","P55096","P55096","Binding site (1); Chain (1); Domain (2); Glycosylation (3); Modified residue (6); Region (1); Sequence conflict (5); Transmembrane (4)","3",TRUE
"890","P55097","P55097","Active site (3); Beta strand (11); Chain (1); Disulfide bond (3); Glycosylation (2); Helix (8); Propeptide (1); Sequence conflict (2); Signal (1); Turn (3)","2",TRUE
"891","P55105","P55105","Chain (1); Disulfide bond (4); Glycosylation (2); Propeptide (1); Sequence conflict (4); Signal (1)","2",TRUE
"892","P55144","P55144","Active site (1); Alternative sequence (2); Beta strand (7); Binding site (2); Chain (1); Compositional bias (1); Disulfide bond (2); Domain (5); Glycosylation (8); Helix (12); Modified residue (7); Region (1); Sequence conflict (3); Signal (1); Topological domain (2); Transmembrane (1); Turn (1)","8",TRUE
"893","P55284","P55284","Beta strand (2); Binding site (17); Chain (1); Domain (5); Glycosylation (5); Mutagenesis (4); Propeptide (1); Region (1); Signal (1); Topological domain (2); Transmembrane (1)","5",TRUE
"894","P55288","P55288","Beta strand (19); Chain (1); Domain (5); Glycosylation (2); Helix (1); Modified residue (2); Propeptide (1); Sequence conflict (6); Signal (1); Topological domain (2); Transmembrane (1); Turn (8)","2",TRUE
"895","P55292","P55292","Alternative sequence (2); Chain (1); Domain (5); Glycosylation (4); Modified residue (3); Propeptide (1); Signal (1); Topological domain (2); Transmembrane (1)","4",TRUE
"896","P55302","P55302","Chain (1); Coiled coil (1); Glycosylation (1); Modified residue (2); Motif (1); Region (1); Signal (1)","1",TRUE
"897","P55772","P55772","Active site (1); Chain (1); Disulfide bond (5); Glycosylation (6); Topological domain (3); Transmembrane (2)","6",TRUE
"898","P55849","P55849","Alternative sequence (2); Chain (1); Domain (5); Glycosylation (4); Modified residue (1); Propeptide (1); Sequence conflict (1); Signal (1); Topological domain (2); Transmembrane (1)","4",TRUE
"899","P55850","P55850","Alternative sequence (2); Chain (1); Domain (5); Glycosylation (4); Propeptide (1); Sequence conflict (9); Signal (1); Topological domain (2); Transmembrane (1)","4",TRUE
"900","P56402","P56402","Chain (1); Glycosylation (1); Intramembrane (2); Modified residue (2); Motif (2); Mutagenesis (1); Natural variant (1); Region (1); Sequence conflict (2); Topological domain (9); Transmembrane (6)","1",TRUE
"901","P56404","P56404","Chain (1); Glycosylation (1); Modified residue (2); Motif (2); Sequence conflict (1); Topological domain (7); Transmembrane (6)","1",TRUE
"902","P56450","P56450","Chain (1); Disulfide bond (1); Glycosylation (4); Lipidation (1); Sequence conflict (2); Topological domain (8); Transmembrane (7)","4",TRUE
"903","P56475","P56475","Chain (1); Compositional bias (1); Disulfide bond (1); Glycosylation (3); Region (1); Sequence conflict (1); Signal (1); Topological domain (2); Transmembrane (4)","3",TRUE
"904","P56476","P56476","Alternative sequence (1); Chain (1); Disulfide bond (1); Glycosylation (2); Sequence conflict (14); Signal (1); Topological domain (2); Transmembrane (4)","2",TRUE
"905","P56480","P56480","Binding site (2); Chain (1); Glycosylation (1); Modified residue (19); Sequence conflict (15); Transit peptide (1)","1",TRUE
"906","P56481","P56481","Chain (1); Disulfide bond (1); Glycosylation (3); Lipidation (1); Region (1); Topological domain (8); Transmembrane (7)","3",TRUE
"907","P56485","P56485","Chain (1); Disulfide bond (1); Glycosylation (2); Modified residue (3); Region (1); Sequence conflict (2); Topological domain (8); Transmembrane (7)","2",TRUE
"908","P56528","P56528","Active site (2); Beta strand (4); Chain (1); Disulfide bond (5); Glycosylation (4); Helix (12); Sequence conflict (2); Topological domain (2); Transmembrane (1); Turn (2)","4",TRUE
"909","P56542","P56542","Active site (1); Chain (1); Disulfide bond (3); Glycosylation (4); Signal (1)","4",TRUE
"910","P56563","P56563","Chain (1); Glycosylation (3); Modified residue (1); Natural variant (1); Topological domain (5); Transmembrane (4)","3",TRUE
"911","P56564","P56564","Binding site (10); Chain (1); Glycosylation (2); Intramembrane (2); Modified residue (1); Region (1); Topological domain (11); Transmembrane (8)","2",TRUE
"912","P56677","P56677","Active site (3); Chain (1); Disulfide bond (18); Domain (8); Glycosylation (6); Modified residue (1); Topological domain (2); Transmembrane (1)","6",TRUE
"913","P56695","P56695","Chain (1); Compositional bias (2); Glycosylation (2); Modified residue (4); Region (3); Sequence conflict (1); Topological domain (1); Transmembrane (11)","2",TRUE
"914","P56726","P56726","Beta strand (12); Chain (1); Compositional bias (1); Disulfide bond (8); Domain (1); Glycosylation (3); Helix (22); Region (4); Sequence conflict (3); Signal (1); Topological domain (8); Transmembrane (7); Turn (5)","3",TRUE
"915","P56818","P56818","Active site (2); Chain (1); Compositional bias (1); Cross-link (1); Disulfide bond (3); Domain (1); Glycosylation (4); Lipidation (4); Modified residue (8); Motif (1); Mutagenesis (9); Propeptide (1); Region (2); Signal (1); Topological domain (2); Transmembrane (1)","4",TRUE
"916","P56974","P56974","Alternative sequence (5); Chain (2); Compositional bias (3); Disulfide bond (4); Domain (2); Glycosylation (4); Propeptide (1); Region (4); Topological domain (2); Transmembrane (1)","4",TRUE
"917","P57716","P57716","Chain (1); Disulfide bond (5); Glycosylation (16); Sequence conflict (3); Signal (1); Topological domain (2); Transmembrane (1)","16",TRUE
"918","P57757","P57757","Binding site (1); Chain (1); Domain (2); Glycosylation (6); Motif (1); Mutagenesis (1); Signal (1); Topological domain (8); Transmembrane (7)","6",TRUE
"919","P58019","P58019","Chain (1); Disulfide bond (5); Domain (1); Glycosylation (1); Lipidation (1); Propeptide (1); Sequence conflict (2); Signal (1)","1",TRUE
"920","P58022","P58022","Alternative sequence (2); Binding site (9); Chain (1); Cross-link (1); Disulfide bond (17); Domain (4); Glycosylation (4); Modified residue (1); Mutagenesis (1); Region (1); Sequence conflict (2); Signal (1)","4",TRUE
"921","P58158","P58158","Active site (1); Binding site (7); Chain (1); Disulfide bond (1); Glycosylation (1); Region (2); Site (2); Topological domain (2); Transmembrane (1)","1",TRUE
"922","P58242","P58242","Beta strand (18); Binding site (8); Chain (1); Disulfide bond (3); Glycosylation (5); Helix (20); Mutagenesis (4); Signal (1); Turn (2)","5",TRUE
"923","P58308","P58308","Alternative sequence (1); Chain (1); Disulfide bond (1); Glycosylation (3); Region (1); Sequence conflict (2); Site (1); Topological domain (8); Transmembrane (7)","3",TRUE
"924","P58355","P58355","Chain (1); Glycosylation (1); Natural variant (2); Region (1); Topological domain (13); Transmembrane (12)","1",TRUE
"925","P58406","P58406","Chain (1); Compositional bias (2); Disulfide bond (1); Glycosylation (1); Modified residue (1); Region (2); Topological domain (8); Transmembrane (7)","1",TRUE
"926","P58459","P58459","Active site (1); Alternative sequence (5); Binding site (3); Chain (1); Disulfide bond (14); Domain (8); Glycosylation (5); Propeptide (1); Region (1); Signal (1)","5",TRUE
"927","P58681","P58681","Chain (1); Domain (1); Glycosylation (12); Mutagenesis (1); Repeat (28); Signal (1); Topological domain (2); Transmembrane (1)","12",TRUE
"928","P58682","P58682","Chain (1); Disulfide bond (5); Domain (1); Glycosylation (21); Repeat (26); Sequence conflict (1); Signal (1); Topological domain (2); Transmembrane (1)","21",TRUE
"929","P58735","P58735","Chain (1); Domain (1); Glycosylation (3); Modified residue (3); Mutagenesis (3); Transmembrane (9)","3",TRUE
"930","P59111","P59111","Binding site (1); Chain (1); Compositional bias (4); Domain (2); Glycosylation (2); Intramembrane (1); Motif (1); Region (4); Sequence conflict (2); Topological domain (8); Transmembrane (6)","2",TRUE
"931","P59158","P59158","Chain (1); Glycosylation (4); Modified residue (9); Mutagenesis (16); Topological domain (7); Transmembrane (12)","4",TRUE
"932","P59270","P59270","Active site (1); Alternative sequence (2); Binding site (7); Chain (1); Compositional bias (1); Glycosylation (2); Region (2); Sequence conflict (1); Site (2); Topological domain (2); Transmembrane (1)","2",TRUE
"933","P59384","P59384","Active site (1); Binding site (4); Chain (1); Compositional bias (1); Disulfide bond (11); Domain (5); Glycosylation (4); Motif (1); Mutagenesis (2); Propeptide (1); Region (3); Sequence conflict (3); Signal (1); Site (1)","4",TRUE
"934","P59511","P59511","Active site (1); Alternative sequence (2); Binding site (3); Chain (1); Disulfide bond (11); Domain (18); Glycosylation (10); Propeptide (1); Region (3); Sequence conflict (2); Signal (1)","10",TRUE
"935","P59823","P59823","Active site (1); Beta strand (30); Chain (1); Disulfide bond (5); Domain (4); Glycosylation (6); Helix (4); Mutagenesis (5); Region (2); Signal (1); Site (1); Topological domain (2); Transmembrane (1); Turn (2)","6",TRUE
"936","P60755","P60755","Chain (1); Disulfide bond (6); Domain (8); Glycosylation (8); Lipidation (1); Propeptide (1); Signal (1)","8",TRUE
"937","P60882","P60882","Chain (1); Compositional bias (1); Disulfide bond (32); Domain (18); Glycosylation (7); Modified residue (1); Region (2); Repeat (12); Sequence conflict (3); Signal (1); Topological domain (2); Transmembrane (1)","7",TRUE
"938","P61168","P61168","Alternative sequence (1); Chain (1); Disulfide bond (2); Glycosylation (3); Lipidation (1); Region (2); Sequence conflict (1); Site (2); Topological domain (8); Transmembrane (7)","3",TRUE
"939","P61622","P61622","Binding site (12); Chain (1); Disulfide bond (7); Domain (1); Glycosylation (16); Repeat (7); Signal (1); Topological domain (2); Transmembrane (1)","16",TRUE
"940","P61793","P61793","Alternative sequence (1); Binding site (3); Chain (1); Disulfide bond (3); Glycosylation (2); Modified residue (2); Sequence conflict (3); Topological domain (8); Transmembrane (7)","2",TRUE
"941","P62812","P62812","Chain (1); Disulfide bond (1); Glycosylation (2); Helix (7); Signal (1); Topological domain (2); Transmembrane (4)","2",TRUE
"942","P63080","P63080","Chain (1); Disulfide bond (1); Glycosylation (3); Signal (1); Topological domain (4); Transmembrane (4)","3",TRUE
"943","P63137","P63137","Alternative sequence (1); Chain (1); Disulfide bond (1); Glycosylation (3); Modified residue (1); Signal (1); Topological domain (2); Transmembrane (4)","3",TRUE
"944","P63141","P63141","Beta strand (5); Chain (1); Glycosylation (1); Helix (20); Intramembrane (2); Lipidation (1); Modified residue (7); Motif (2); Mutagenesis (1); Region (3); Sequence conflict (1); Site (2); Topological domain (8); Transmembrane (6); Turn (6)","1",TRUE
"945","P63239","P63239","Active site (3); Beta strand (7); Chain (1); Compositional bias (1); Disulfide bond (3); Domain (2); Glycosylation (2); Helix (4); Propeptide (1); Region (1); Sequence conflict (7); Signal (1); Turn (2)","2",TRUE
"946","P63250","P63250","Beta strand (15); Chain (1); Compositional bias (1); Glycosylation (1); Helix (7); Intramembrane (2); Modified residue (2); Motif (1); Region (2); Site (1); Topological domain (4); Transmembrane (2); Turn (4)","1",TRUE
"947","P68500","P68500","Beta strand (59); Chain (1); Disulfide bond (6); Domain (10); Glycosylation (9); Helix (6); Lipidation (1); Propeptide (1); Region (1); Signal (1); Turn (3)","9",TRUE
"948","P70124","P70124","Chain (1); Glycosylation (3); Site (1)","3",TRUE
"949","P70126","P70126","Active site (1); Alternative sequence (2); Binding site (3); Chain (1); Disulfide bond (2); Glycosylation (5); Sequence conflict (3); Topological domain (2); Transmembrane (1)","5",TRUE
"950","P70158","P70158","Beta strand (16); Binding site (12); Chain (1); Disulfide bond (3); Glycosylation (6); Helix (18); Mutagenesis (3); Signal (1); Turn (4)","6",TRUE
"951","P70160","P70160","Disulfide bond (1); Glycosylation (1); Modified residue (2); Peptide (1); Propeptide (2); Region (2); Sequence conflict (1); Signal (1)","1",TRUE
"952","P70170","P70170","Alternative sequence (2); Binding site (2); Chain (1); Compositional bias (1); Domain (4); Glycosylation (2); Region (1); Topological domain (16); Transmembrane (15)","2",TRUE
"953","P70172","P70172","Chain (1); Glycosylation (2); Modified residue (1); Natural variant (4); Region (1); Topological domain (8); Transmembrane (7)","2",TRUE
"954","P70174","P70174","Chain (1); Compositional bias (3); Disulfide bond (2); Glycosylation (2); Modified residue (9); Natural variant (3); Region (3); Sequence conflict (10); Topological domain (8); Transmembrane (7)","2",TRUE
"955","P70180","P70180","Binding site (3); Chain (1); Disulfide bond (3); Glycosylation (3); Natural variant (2); Propeptide (1); Sequence conflict (5); Signal (1); Topological domain (2); Transmembrane (1)","3",TRUE
"956","P70186","P70186","Chain (1); Disulfide bond (2); Domain (1); Glycosylation (4); Region (1); Repeat (6); Signal (1)","4",TRUE
"957","P70193","P70193","Chain (1); Compositional bias (2); Disulfide bond (6); Domain (5); Glycosylation (7); Region (2); Repeat (15); Sequence conflict (3); Signal (1); Topological domain (2); Transmembrane (1)","7",TRUE
"958","P70205","P70205","Chain (1); Disulfide bond (3); Glycosylation (3); Modified residue (2); Region (1); Signal (1); Topological domain (8); Transmembrane (7)","3",TRUE
"959","P70206","P70206","Beta strand (29); Chain (1); Coiled coil (1); Disulfide bond (10); Domain (5); Glycosylation (7); Helix (4); Mutagenesis (1); Signal (1); Topological domain (2); Transmembrane (1); Turn (1)","7",TRUE
"960","P70207","P70207","Beta strand (54); Chain (1); Coiled coil (1); Disulfide bond (10); Domain (5); Glycosylation (9); Helix (15); Modified residue (1); Mutagenesis (3); Sequence conflict (1); Signal (1); Topological domain (2); Transmembrane (1); Turn (14)","9",TRUE
"961","P70208","P70208","Alternative sequence (1); Beta strand (8); Chain (1); Coiled coil (1); Disulfide bond (10); Domain (5); Glycosylation (3); Helix (29); Modified residue (1); Mutagenesis (8); Sequence conflict (2); Signal (1); Topological domain (2); Transmembrane (1); Turn (9)","3",TRUE
"962","P70211","P70211","Alternative sequence (2); Beta strand (13); Chain (1); Compositional bias (2); Disulfide bond (4); Domain (10); Glycosylation (7); Helix (2); Modified residue (3); Region (4); Sequence conflict (1); Signal (1); Topological domain (2); Transmembrane (1)","7",TRUE
"963","P70232","P70232","Alternative sequence (3); Chain (2); Compositional bias (1); Disulfide bond (6); Domain (10); Glycosylation (10); Modified residue (3); Motif (2); Mutagenesis (2); Region (2); Sequence conflict (5); Signal (1); Site (2); Topological domain (2); Transmembrane (1)","10",TRUE
"964","P70259","P70259","Chain (1); Glycosylation (2); Motif (2); Region (1); Sequence conflict (3); Topological domain (8); Transmembrane (7)","2",TRUE
"965","P70263","P70263","Chain (1); Disulfide bond (1); Glycosylation (2); Sequence conflict (1); Topological domain (8); Transmembrane (7)","2",TRUE
"966","P70269","P70269","Active site (2); Chain (1); Disulfide bond (3); Domain (1); Glycosylation (2); Propeptide (1); Sequence conflict (2); Signal (1)","2",TRUE
"967","P70274","P70274","Chain (1); Compositional bias (2); Glycosylation (5); Modified residue (1); Non-standard residue (10); Region (2); Sequence conflict (7); Signal (1)","5",TRUE
"968","P70275","P70275","Chain (1); Disulfide bond (6); Domain (2); Glycosylation (5); Sequence conflict (1); Signal (1)","5",TRUE
"969","P70289","P70289","Active site (1); Binding site (3); Chain (1); Domain (12); Glycosylation (19); Region (1); Signal (1); Topological domain (2); Transmembrane (1)","19",TRUE
"970","P70302","P70302","Binding site (5); Chain (1); Coiled coil (1); Compositional bias (2); Domain (2); Glycosylation (2); Modified residue (18); Motif (1); Region (4); Sequence conflict (1); Signal (1); Topological domain (2); Transmembrane (1)","2",TRUE
"971","P70312","P70312","Chain (1); Cross-link (1); Glycosylation (1); Modified residue (2); Sequence conflict (1); Topological domain (8); Transmembrane (7)","1",TRUE
"972","P70375","P70375","Active site (3); Beta strand (3); Binding site (1); Chain (2); Disulfide bond (12); Domain (4); Glycosylation (4); Helix (1); Modified residue (11); Propeptide (1); Sequence conflict (1); Signal (1); Site (1)","4",TRUE
"973","P70387","P70387","Chain (1); Disulfide bond (2); Domain (1); Glycosylation (4); Region (4); Sequence conflict (1); Signal (1); Topological domain (2); Transmembrane (1)","4",TRUE
"974","P70407","P70407","Chain (1); Domain (5); Glycosylation (4); Modified residue (1); Propeptide (1); Sequence conflict (4); Signal (1); Topological domain (2); Transmembrane (1)","4",TRUE
"975","P70408","P70408","Beta strand (16); Chain (1); Domain (5); Glycosylation (3); Modified residue (1); Propeptide (1); Sequence conflict (9); Signal (1); Topological domain (2); Transmembrane (1); Turn (8)","3",TRUE
"976","P70412","P70412","Chain (1); Disulfide bond (5); Domain (3); Glycosylation (4); Signal (1); Topological domain (2); Transmembrane (1)","4",TRUE
"977","P70414","P70414","Binding site (27); Chain (1); Domain (2); Glycosylation (2); Modified residue (2); Region (1); Repeat (2); Signal (1); Topological domain (11); Transmembrane (10)","2",TRUE
"978","P70419","P70419","Binding site (7); Chain (1); Disulfide bond (3); Domain (1); Glycosylation (2); Region (3); Sequence conflict (2); Topological domain (2); Transmembrane (1)","2",TRUE
"979","P70423","P70423","Chain (1); Glycosylation (1); Modified residue (2); Topological domain (15); Transmembrane (14)","1",TRUE
"980","P70424","P70424","Active site (1); Binding site (2); Chain (1); Compositional bias (2); Disulfide bond (25); Domain (1); Glycosylation (7); Modified residue (10); Motif (1); Region (5); Signal (1); Topological domain (2); Transmembrane (1)","7",TRUE
"981","P70428","P70428","Active site (1); Binding site (11); Chain (1); Disulfide bond (1); Glycosylation (2); Sequence conflict (7); Topological domain (2); Transmembrane (1)","2",TRUE
"982","P70458","P70458","Chain (1); Glycosylation (1); Propeptide (1); Sequence conflict (4); Signal (1); Site (1)","1",TRUE
"983","P70658","P70658","Alternative sequence (1); Chain (1); Compositional bias (1); Cross-link (1); Disulfide bond (2); Glycosylation (2); Modified residue (11); Motif (1); Region (8); Sequence conflict (1); Site (2); Topological domain (8); Transmembrane (7)","2",TRUE
"984","P70663","P70663","Binding site (5); Chain (1); Compositional bias (8); Disulfide bond (7); Domain (3); Glycosylation (3); Modified residue (8); Region (2); Sequence conflict (5); Signal (1)","3",TRUE
"985","P70665","P70665","Alternative sequence (3); Chain (2); Glycosylation (8); Sequence conflict (5); Signal (1)","8",TRUE
"986","P70669","P70669","Active site (2); Binding site (3); Chain (1); Disulfide bond (5); Domain (1); Glycosylation (8); Sequence conflict (1); Topological domain (2); Transmembrane (1)","8",TRUE
"987","P70699","P70699","Active site (2); Binding site (4); Chain (1); Disulfide bond (5); Domain (1); Glycosylation (7); Propeptide (1); Sequence conflict (11); Signal (1)","7",TRUE
"988","P70701","P70701","Chain (1); Disulfide bond (11); Glycosylation (2); Lipidation (1); Modified residue (1); Region (1); Signal (1)","2",TRUE
"989","P80560","P80560","Active site (1); Binding site (3); Chain (4); Compositional bias (2); Domain (1); Glycosylation (1); Modified residue (8); Motif (2); Mutagenesis (2); Region (5); Sequence conflict (9); Signal (1); Site (1); Topological domain (2); Transmembrane (1)","1",TRUE
"990","P82347","P82347","Chain (1); Disulfide bond (2); Glycosylation (3); Topological domain (2); Transmembrane (1)","3",TRUE
"991","P82348","P82348","Chain (1); Disulfide bond (2); Glycosylation (1); Topological domain (2); Transmembrane (1)","1",TRUE
"992","P82349","P82349","Chain (1); Disulfide bond (2); Glycosylation (3); Region (1); Topological domain (2); Transmembrane (1)","3",TRUE
"993","P82350","P82350","Chain (1); Glycosylation (2); Modified residue (1); Sequence conflict (3); Signal (1); Topological domain (2); Transmembrane (1)","2",TRUE
"994","P83093","P83093","Binding site (4); Chain (1); Coiled coil (1); Compositional bias (3); Domain (2); Glycosylation (1); Modified residue (10); Region (3); Signal (1); Topological domain (2); Transmembrane (1)","1",TRUE
"995","P83714","P83714","Chain (1); Glycosylation (1); Signal (1)","1",TRUE
"996","P84309","P84309","Alternative sequence (1); Binding site (12); Chain (1); Coiled coil (1); Compositional bias (3); Domain (2); Glycosylation (5); Modified residue (6); Region (1); Sequence conflict (3); Topological domain (4); Transmembrane (12)","5",TRUE
"997","P86044","P86044","Chain (1); Glycosylation (4); Topological domain (9); Transmembrane (8)","4",TRUE
"998","P97288","P97288","Alternative sequence (3); Chain (1); Disulfide bond (1); Glycosylation (1); Lipidation (1); Sequence conflict (1); Topological domain (8); Transmembrane (7)","1",TRUE
"999","P97290","P97290","Chain (1); Compositional bias (2); Disulfide bond (2); Glycosylation (5); Region (2); Sequence conflict (2); Signal (1); Site (1)","5",TRUE
"1000","P97291","P97291","Beta strand (9); Chain (1); Domain (5); Glycosylation (4); Helix (1); Modified residue (1); Propeptide (1); Sequence conflict (1); Signal (1); Topological domain (2); Transmembrane (1); Turn (4)","4",TRUE
"1001","P97292","P97292","Chain (1); Disulfide bond (1); Glycosylation (1); Lipidation (1); Sequence conflict (2); Site (3); Topological domain (8); Transmembrane (7)","1",TRUE
"1002","P97295","P97295","Chain (1); Disulfide bond (1); Glycosylation (1); Lipidation (1); Region (1); Topological domain (8); Transmembrane (7)","1",TRUE
"1003","P97298","P97298","Beta strand (17); Chain (1); Compositional bias (1); Glycosylation (1); Helix (14); Modified residue (2); Region (1); Sequence conflict (5); Signal (1); Turn (6)","1",TRUE
"1004","P97300","P97300","Alternative sequence (4); Chain (1); Disulfide bond (3); Domain (3); Glycosylation (6); Region (2); Sequence conflict (3); Signal (1); Topological domain (2); Transmembrane (1)","6",TRUE
"1005","P97321","P97321","Active site (3); Alternative sequence (2); Binding site (2); Chain (2); Disulfide bond (4); Glycosylation (6); Mutagenesis (1); Sequence conflict (1); Site (1); Topological domain (2); Transmembrane (1)","6",TRUE
"1006","P97325","P97325","Chain (1); Disulfide bond (1); Glycosylation (2); Sequence conflict (2); Topological domain (2); Transmembrane (1)","2",TRUE
"1007","P97326","P97326","Beta strand (17); Chain (1); Compositional bias (1); Domain (5); Glycosylation (5); Helix (1); Modified residue (2); Propeptide (1); Region (1); Sequence conflict (13); Signal (1); Topological domain (2); Transmembrane (1); Turn (8)","5",TRUE
"1008","P97333","P97333","Beta strand (38); Binding site (3); Chain (1); Disulfide bond (6); Domain (5); Glycosylation (7); Helix (8); Modified residue (1); Region (1); Sequence conflict (3); Signal (1); Topological domain (2); Transmembrane (1); Turn (8)","7",TRUE
"1009","P97353","P97353","Chain (1); Glycosylation (3); Natural variant (5); Topological domain (2); Transmembrane (1)","3",TRUE
"1010","P97361","P97361","Beta strand (7); Chain (1); Disulfide bond (1); Glycosylation (2); Helix (9); Region (2); Repeat (4); Signal (1)","2",TRUE
"1011","P97370","P97370","Chain (1); Disulfide bond (3); Glycosylation (2); Region (1); Topological domain (2); Transmembrane (1)","2",TRUE
"1012","P97378","P97378","Chain (1); Domain (5); Glycosylation (14); Modified residue (3); Motif (2); Mutagenesis (10); Signal (1); Topological domain (2); Transmembrane (1)","14",TRUE
"1013","P97399","P97399","Chain (3); Compositional bias (17); Glycosylation (6); Modified residue (8); Motif (1); Region (2); Signal (1)","6",TRUE
"1014","P97401","P97401","Beta strand (3); Chain (1); Compositional bias (1); Disulfide bond (5); Domain (2); Glycosylation (1); Helix (7); Region (1); Sequence conflict (1); Signal (1); Turn (2)","1",TRUE
"1015","P97402","P97402","Chain (1); Glycosylation (4); Sequence conflict (8); Topological domain (2); Transmembrane (1)","4",TRUE
"1016","P97414","P97414","Alternative sequence (2); Chain (1); Coiled coil (1); Glycosylation (1); Intramembrane (1); Modified residue (3); Motif (1); Region (5); Sequence conflict (1); Topological domain (8); Transmembrane (6)","1",TRUE
"1017","P97438","P97438","Alternative sequence (1); Beta strand (6); Chain (1); Disulfide bond (1); Glycosylation (2); Helix (8); Intramembrane (2); Modified residue (1); Mutagenesis (1); Region (3); Sequence conflict (1); Topological domain (3); Transmembrane (4); Turn (2)","2",TRUE
"1018","P97445","P97445","Binding site (3); Chain (1); Compositional bias (15); Glycosylation (2); Modified residue (16); Natural variant (1); Region (5); Repeat (4); Sequence conflict (8); Site (1); Topological domain (25); Transmembrane (24)","2",TRUE
"1019","P97449","P97449","Active site (1); Binding site (4); Chain (1); Disulfide bond (2); Glycosylation (13); Modified residue (4); Mutagenesis (4); Region (3); Sequence conflict (11); Site (1); Topological domain (2); Transmembrane (1)","13",TRUE
"1020","P97464","P97464","Active site (1); Binding site (9); Chain (1); Disulfide bond (1); Glycosylation (2); Sequence conflict (5); Topological domain (2); Transmembrane (1)","2",TRUE
"1021","P97466","P97466","Chain (1); Disulfide bond (4); Glycosylation (1); Region (1); Signal (1)","1",TRUE
"1022","P97467","P97467","Binding site (15); Chain (1); Disulfide bond (7); Glycosylation (1); Modified residue (7); Propeptide (1); Region (4); Repeat (5); Sequence conflict (1); Signal (1); Topological domain (2); Transmembrane (1)","1",TRUE
"1023","P97468","P97468","Chain (1); Disulfide bond (1); Glycosylation (2); Modified residue (6); Topological domain (8); Transmembrane (7)","2",TRUE
"1024","P97484","P97484","Chain (1); Compositional bias (1); Disulfide bond (5); Domain (6); Glycosylation (2); Modified residue (4); Motif (3); Mutagenesis (2); Region (2); Signal (1); Topological domain (2); Transmembrane (1)","2",TRUE
"1025","P97490","P97490","Binding site (12); Chain (1); Compositional bias (1); Glycosylation (3); Modified residue (3); Motif (2); Region (7); Sequence conflict (3); Site (5); Topological domain (3); Transmembrane (12)","3",TRUE
"1026","P97714","P97714","Chain (1); Compositional bias (1); Glycosylation (2); Lipidation (1); Region (3); Sequence conflict (1); Topological domain (8); Transmembrane (7)","2",TRUE
"1027","P97717","P97717","Chain (1); Compositional bias (2); Disulfide bond (1); Glycosylation (4); Lipidation (1); Modified residue (1); Motif (1); Region (2); Topological domain (8); Transmembrane (7)","4",TRUE
"1028","P97718","P97718","Chain (1); Disulfide bond (1); Glycosylation (3); Lipidation (1); Modified residue (1); Motif (1); Sequence conflict (2); Topological domain (8); Transmembrane (7)","3",TRUE
"1029","P97737","P97737","Chain (1); Disulfide bond (4); Glycosylation (4); Propeptide (1); Region (2); Sequence conflict (2); Signal (1)","4",TRUE
"1030","P97766","P97766","Chain (1); Disulfide bond (3); Domain (1); Glycosylation (1); Lipidation (1); Propeptide (1); Sequence conflict (1); Signal (1)","1",TRUE
"1031","P97772","P97772","Alternative sequence (4); Binding site (6); Chain (1); Compositional bias (4); Disulfide bond (6); Glycosylation (5); Modified residue (8); Mutagenesis (1); Region (4); Signal (1); Topological domain (8); Transmembrane (7)","5",TRUE
"1032","P97785","P97785","Alternative sequence (1); Chain (1); Disulfide bond (14); Glycosylation (3); Lipidation (1); Propeptide (1); Repeat (3); Sequence conflict (1); Signal (1)","3",TRUE
"1033","P97792","P97792","Alternative sequence (3); Beta strand (15); Chain (1); Compositional bias (2); Disulfide bond (3); Domain (2); Glycosylation (1); Helix (5); Lipidation (2); Modified residue (6); Motif (1); Region (1); Signal (1); Topological domain (2); Transmembrane (1); Turn (1)","1",TRUE
"1034","P97793","P97793","Active site (1); Binding site (5); Chain (1); Disulfide bond (6); Domain (4); Glycosylation (16); Modified residue (6); Region (3); Sequence conflict (6); Signal (1); Topological domain (2); Transmembrane (1)","16",TRUE
"1035","P97797","P97797","Alternative sequence (2); Beta strand (12); Chain (1); Disulfide bond (3); Domain (3); Glycosylation (14); Helix (1); Modified residue (4); Motif (5); Mutagenesis (1); Region (1); Sequence conflict (30); Signal (1); Topological domain (2); Transmembrane (1); Turn (1)","14",TRUE
"1036","P97798","P97798","Alternative sequence (4); Beta strand (24); Chain (1); Compositional bias (2); Disulfide bond (4); Domain (10); Glycosylation (8); Helix (1); Modified residue (8); Region (4); Sequence conflict (3); Signal (1); Topological domain (2); Transmembrane (1)","8",TRUE
